City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Herat,AF,2021-02-07 08:48:53,34.5,62.0,66.2,20,0,2.3
197,Steubenville,US,2021-02-07 08:48:03,40.3698,-80.634,30.2,47,90,6.91
198,Pingxiang,CN,2021-02-07 08:48:53,27.6167,113.85,66.09,67,80,2.95
199,Korla,CN,2021-02-07 08:39:31,41.7597,86.1469,42.24,53,100,7.36
200,Port Maria,JM,2021-02-07 08:48:53,18.3685,-76.8895,71.01,96,38,6.06
201,Dadu,PK,2021-02-07 08:48:53,26.7329,67.7763,84.15,13,0,5.19
202,Sassandra,CI,2021-02-07 08:48:53,4.95,-6.0833,80.13,84,85,5.08
203,Ketchikan,US,2021-02-07 08:48:54,55.3422,-131.6461,33.8,69,40,18.41
204,Dubbo,AU,2021-02-07 08:47:57,-32.25,148.6167,78.8,38,28,9.22
205,Caravelas,BR,2021-02-07 08:35:33,-17.7125,-39.2481,75.69,88,100,7.61
206,Road Town,VG,2021-02-07 08:48:54,18.4167,-64.6167,75.99,92,28,24.0
207,Malanville,BJ,2021-02-07 08:48:54,11.8685,3.3899,82.2,15,79,11.61
208,Ystad,SE,2021-02-07 08:48:54,55.4297,13.8204,21.2,86,90,12.66
209,Nioki,CD,2021-02-07 08:39:46,-2.7167,17.6833,89.65,51,19,3.04
210,Nanchang,CN,2021-02-07 08:48:54,28.6833,115.8833,64.44,65,93,7.74
211,Mahebourg,MU,2021-02-07 08:40:06,-20.4081,57.7,87.8,66,40,16.11
212,Norman Wells,CA,2021-02-07 08:40:00,65.282,-126.8329,-20.2,69,75,10.36
213,Matagami,CA,2021-02-07 08:48:55,49.7502,-77.6328,-0.4,85,90,2.3
214,Port Macquarie,AU,2021-02-07 08:40:41,-31.4333,152.9167,77.0,72,1,1.99
215,Bilma,NE,2021-02-07 08:48:55,18.6853,12.9164,75.11,17,58,16.62
216,Castro,BR,2021-02-07 08:39:49,-24.7911,-50.0119,52.97,97,57,3.89
217,Roald,NO,2021-02-07 08:48:55,62.5833,6.1333,24.8,54,0,12.66
218,Vardo,NO,2021-02-07 08:39:58,70.3705,31.1107,25.48,93,100,26.06
219,Lagoa,PT,2021-02-07 08:40:05,39.05,-27.9833,59.05,87,100,18.86
220,Nemuro,JP,2021-02-07 08:48:56,43.3236,145.575,17.6,93,75,4.61
221,Dera Bugti,PK,2021-02-07 08:48:56,29.0307,69.151,75.58,17,0,9.66
222,Manggar,ID,2021-02-07 08:48:56,-2.8833,108.2667,84.18,70,100,14.97
223,Healdsburg,US,2021-02-07 08:48:56,38.6105,-122.8692,48.0,93,1,3.44
224,Bayan,CN,2021-02-07 08:48:56,46.0833,127.4,-0.81,92,100,6.51
225,Komsomolskiy,UZ,2021-02-07 08:39:41,40.4272,71.7189,53.6,35,20,4.61
226,Maragogi,BR,2021-02-07 08:48:56,-9.0122,-35.2225,76.89,84,41,7.09
227,Tessalit,ML,2021-02-07 08:39:52,20.1986,1.0114,67.87,26,100,18.5
228,Thinadhoo,MV,2021-02-07 08:39:35,0.5333,72.9333,82.17,74,86,13.4
229,Hanzhong,CN,2021-02-07 08:48:57,33.0728,107.0303,63.41,26,81,5.28
230,Kearney,US,2021-02-07 08:48:57,40.6995,-99.0815,5.0,85,90,8.05
231,Coquimbo,CL,2021-02-07 08:35:03,-29.9533,-71.3436,57.2,82,0,5.75
232,Haines Junction,CA,2021-02-07 08:40:18,60.7522,-137.5108,-16.6,76,93,2.57
233,Hasaki,JP,2021-02-07 08:39:17,35.7333,140.8333,57.2,38,20,3.44
234,Qui Nhon,VN,2021-02-07 08:48:57,13.7667,109.2333,75.34,77,13,11.34
235,Kondagaon,IN,2021-02-07 08:48:57,19.6,81.6667,85.08,19,0,5.64
236,Udachnyy,RU,2021-02-07 08:48:58,66.4167,112.4,-22.95,84,98,8.88
237,Staraya Mayna,RU,2021-02-07 08:48:58,54.6,48.95,-4.0,65,100,15.66
238,Agadez,NE,2021-02-07 08:48:58,19.75,10.25,72.95,19,4,9.4
239,Doka,SD,2021-02-07 08:48:58,13.5167,35.7667,82.42,15,0,9.35
240,Leningradskiy,RU,2021-02-07 08:40:16,69.3833,178.4167,-11.9,73,14,4.56
241,Tupik,RU,2021-02-07 08:48:58,54.4253,119.9327,-13.63,85,18,1.43
242,Karwar,IN,2021-02-07 08:48:58,14.8,74.1333,88.66,33,0,6.62
243,Kuching,MY,2021-02-07 08:47:42,1.55,110.3333,80.6,89,40,5.75
244,Creel,MX,2021-02-07 08:48:58,27.75,-107.6333,35.92,76,14,1.12
245,Portland,US,2021-02-07 08:37:50,45.5234,-122.6762,45.0,81,75,3.44
246,Ibra,OM,2021-02-07 08:48:59,22.6906,58.5334,78.46,19,0,7.96
247,Bow Island,CA,2021-02-07 08:48:59,49.8668,-111.3684,-13.0,77,100,5.75
248,Hermanus,ZA,2021-02-07 08:39:43,-34.4187,19.2345,69.01,79,98,1.01
249,Wuwei,CN,2021-02-07 08:48:59,37.9281,102.6414,43.61,45,18,6.31
250,Kargasok,RU,2021-02-07 08:48:59,59.0556,80.8572,32.27,96,100,16.51
251,Minsk,BY,2021-02-07 08:44:54,53.9,27.5667,-4.0,84,20,6.71
252,San Carlos De Bariloche,AR,2021-02-07 08:49:00,-41.1456,-71.3082,57.2,51,0,12.66
253,Olga,RU,2021-02-07 08:49:00,43.7444,135.2892,7.68,82,0,11.41
254,Eastbourne,GB,2021-02-07 08:49:00,50.7687,0.2845,34.0,93,100,5.01
255,Ankang,CN,2021-02-07 08:49:00,32.68,109.0172,64.08,28,100,10.65
256,Chapais,CA,2021-02-07 08:40:11,49.7834,-74.8492,1.4,92,90,3.44
257,Saint-Augustin,CA,2021-02-07 08:39:59,51.226,-58.6502,26.4,95,99,19.75
258,Rawson,AR,2021-02-07 08:40:19,-43.3002,-65.1023,57.29,65,100,12.08
259,Yanam,IN,2021-02-07 08:49:01,16.7333,82.2167,89.6,40,100,5.75
260,Maxixe,MZ,2021-02-07 08:49:01,-23.8597,35.3472,87.8,62,40,8.86
261,Touros,BR,2021-02-07 08:40:27,-5.1989,-35.4608,73.4,94,75,2.3
262,Guerrero Negro,MX,2021-02-07 08:39:32,27.9769,-114.0611,57.6,70,1,3.38
263,Grand Gaube,MU,2021-02-07 08:49:01,-20.0064,57.6608,84.99,73,45,8.01
264,Shiyan,CN,2021-02-07 08:49:01,32.6475,110.7781,61.61,31,100,10.51
265,Avera,US,2021-02-07 08:39:37,33.194,-82.5271,39.2,94,90,4.61
266,Ozernovskiy,RU,2021-02-07 08:39:49,51.5,156.5167,24.31,97,100,20.6
267,Guayaramerin,BO,2021-02-07 08:49:02,-10.8368,-65.3614,71.85,96,94,0.81
268,Balingasay,PH,2021-02-07 08:49:02,16.3573,119.8564,81.5,78,5,14.29
269,Karratha,AU,2021-02-07 08:49:03,-20.7377,116.8463,83.39,53,0,13.87
270,Ekibastuz,KZ,2021-02-07 08:49:03,51.6667,75.3667,21.9,90,0,26.93
271,Timizart,DZ,2021-02-07 08:49:03,36.8,4.2667,55.18,64,14,11.03
272,Hualmay,PE,2021-02-07 08:49:03,-11.0964,-77.6139,70.52,76,100,4.0
273,Port Hardy,CA,2021-02-07 08:49:03,50.6996,-127.4199,39.2,100,90,8.05
274,Rincon,US,2021-02-07 08:49:03,32.296,-81.2354,44.6,93,90,3.44
275,Wenling,CN,2021-02-07 08:40:33,28.3669,121.36,66.99,66,19,1.01
276,Ushtobe,KZ,2021-02-07 08:49:04,45.2514,77.9838,36.55,99,100,3.51
277,Oranjemund,NA,2021-02-07 08:40:41,-28.55,16.4333,70.48,66,37,14.9
278,Nampula,MZ,2021-02-07 08:49:04,-15.1165,39.2666,84.2,70,75,9.22
279,Soyo,AO,2021-02-07 08:49:04,-6.1349,12.3689,84.2,84,40,3.44
280,Maues,BR,2021-02-07 08:49:04,-3.3836,-57.7186,73.76,96,99,0.83
281,Anadyr,RU,2021-02-07 08:49:04,64.75,177.4833,-5.01,65,0,4.47
282,Izumo,JP,2021-02-07 08:49:04,35.3667,132.7667,50.0,71,75,5.75
283,Bemidji,US,2021-02-07 08:44:37,47.4736,-94.8803,-22.0,69,1,8.05
284,Altea,ES,2021-02-07 08:49:05,38.5989,-0.0514,55.99,82,49,4.07
285,Puri,IN,2021-02-07 08:49:05,19.8,85.85,87.8,27,0,5.75
286,Bonavista,CA,2021-02-07 08:40:41,48.6499,-53.1147,33.01,74,0,13.8
287,Manavalakurichi,IN,2021-02-07 08:39:52,8.1333,77.3,89.6,58,20,2.3
288,Bunbury,AU,2021-02-07 08:49:05,-33.3333,115.6333,61.0,89,98,5.99
289,Begoro,GH,2021-02-07 08:49:05,6.3871,-0.3774,79.57,76,98,2.68
290,Bandarbeyla,SO,2021-02-07 08:49:05,9.4942,50.8122,80.1,65,24,15.61
291,Pakxe,LA,2021-02-07 08:49:05,15.1167,105.7833,89.6,43,40,2.3
292,Bathsheba,BB,2021-02-07 08:40:11,13.2167,-59.5167,77.0,73,75,20.71
293,Ovre Ardal,NO,2021-02-07 08:49:06,61.3167,7.8,8.46,76,0,5.53
