City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Astorga,BR,84.2,few clouds,-23.2325,-51.6656,Rancho Jads
342,Jardim,BR,82.78,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
345,Sinnamary,GF,78.33,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
349,Miramar,US,84.2,few clouds,25.9873,-80.2323,Stadium Hotel
352,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
354,Vilhena,BR,82.4,scattered clouds,-12.7406,-60.1458,Hotel Mirage
360,Alice Town,BS,76.59,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
361,Marsh Harbour,BS,77.68,clear sky,26.5412,-77.0636,Abaco Beach Resort
363,La Brea,HN,84.2,few clouds,15.8,-85.9667,Hotel reynita
364,Honiara,SB,81.18,overcast clouds,-9.4333,159.95,Heritage Park Hotel
365,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
372,Morondava,MG,81.48,moderate rain,-20.2833,44.2833,La Case Bambou
385,Puerto Narino,CO,77.0,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
