City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Shellbrook,CA,53.2168,-106.4011,-22.0,57,1,13.8,clear sky
232,Provideniya,RU,64.3833,-173.3,-0.54,83,74,17.72,broken clouds
233,Monroe,US,43.1501,-77.6831,16.0,53,40,12.66,scattered clouds
234,Atlantic City,US,39.3643,-74.4229,34.0,93,90,11.5,overcast clouds
235,Morro Bay,US,35.3658,-120.8499,64.99,82,0,3.0,clear sky
236,Puerto Madryn,AR,-42.7692,-65.0385,60.1,56,3,12.77,clear sky
237,Kiruna,SE,67.8557,20.2251,17.6,79,90,5.75,overcast clouds
238,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,5.75,light rain
239,Puerto Escondido,MX,15.85,-97.0667,84.2,74,20,5.75,few clouds
240,Senanga,ZM,-16.1167,23.2667,69.26,92,100,4.32,light rain
241,Vao,NC,-22.6667,167.4833,77.79,80,90,5.55,overcast clouds
242,Brownsville,US,25.9018,-97.4975,73.4,53,1,13.8,clear sky
243,Japura,ID,-0.3167,102.35,73.65,90,100,1.07,overcast clouds
244,Beringovskiy,RU,63.05,179.3167,5.22,93,100,16.93,light snow
245,Puksoozero,RU,62.5903,40.6066,-19.75,88,45,5.44,scattered clouds
246,Qaqortoq,GL,60.7167,-46.0333,37.4,30,20,40.29,few clouds
247,Zhuhai,CN,22.2769,113.5678,69.01,88,20,9.22,few clouds
248,Teguldet,RU,57.3064,88.1667,14.77,94,84,10.29,broken clouds
249,Misratah,LY,32.3754,15.0925,67.26,50,91,17.72,overcast clouds
250,Airai,TL,-8.9266,125.4092,66.88,97,100,3.09,overcast clouds
251,Cockburn Town,TC,21.4612,-71.1419,77.0,83,20,6.91,few clouds
252,Samarai,PG,-10.6167,150.6667,85.82,66,91,3.44,overcast clouds
253,Shingu,JP,33.7333,135.9833,50.0,57,20,6.91,few clouds
254,Pimentel,PE,-6.8367,-79.9342,77.0,65,0,20.71,clear sky
255,Acarau,BR,-2.8856,-40.12,80.35,80,3,14.54,clear sky
256,Hofn,IS,64.2539,-15.2082,36.81,86,100,16.89,overcast clouds
257,Agua Dulce,MX,18.1333,-94.1333,78.8,65,40,11.5,scattered clouds
258,Quthing,LS,-30.4,27.7003,65.98,61,29,0.98,scattered clouds
259,Madimba,TZ,-10.4,40.3333,80.06,86,100,9.53,moderate rain
260,Hasaki,JP,35.7333,140.8333,41.0,56,75,4.61,light rain
261,Camacupa,AO,-12.0167,17.4833,63.77,94,100,1.72,light rain
262,Ahipara,NZ,-35.1667,173.1667,73.4,56,14,9.17,few clouds
263,Lufilufi,WS,-13.8745,-171.5986,82.4,89,75,9.22,light rain
264,Ancud,CL,-41.8697,-73.8203,63.55,73,0,1.43,clear sky
265,Borovoy,RU,55.4333,86.0833,17.6,73,40,8.95,scattered clouds
266,Yulara,AU,-25.2406,130.9889,82.4,24,0,16.11,clear sky
267,Turukhansk,RU,65.8167,87.9833,11.61,96,99,18.77,light snow
268,Nerchinskiy Zavod,RU,51.3088,119.61,-22.13,85,6,3.42,clear sky
269,Mackenzie,CA,55.2999,-123.1698,-2.2,65,1,6.91,clear sky
270,Khatanga,RU,71.9667,102.5,-28.75,79,0,11.07,clear sky
271,San Vicente,AR,-26.6167,-54.1333,66.76,72,17,3.06,light rain
272,Kayerkan,RU,69.3497,87.7602,-20.0,80,43,6.93,scattered clouds
273,Marawi,PH,7.9986,124.2928,75.0,95,100,3.0,overcast clouds
274,Khao Yoi,TH,13.2403,99.8243,75.0,99,0,2.01,clear sky
275,Antofagasta,CL,-23.65,-70.4,68.0,77,20,13.8,few clouds
276,Maniitsoq,GL,65.4167,-52.9,25.99,79,0,18.19,clear sky
277,Cervo,ES,43.6702,-7.4101,50.0,90,100,1.99,light rain
278,Lima,PE,-12.0432,-77.0282,73.4,73,75,14.97,broken clouds
279,Sangod,IN,24.9167,76.2833,53.94,41,0,1.99,clear sky
280,Vila Velha,BR,-20.3297,-40.2925,70.0,94,90,7.99,heavy intensity rain
281,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,17.27,scattered clouds
282,Andenes,NO,69.3143,16.1194,32.0,69,97,18.41,light snow
283,Asifabad,IN,19.3667,79.2833,57.42,34,98,3.33,overcast clouds
284,Binzhou,CN,37.3667,118.0167,28.99,64,0,3.65,clear sky
285,San Patricio,US,28.017,-97.5169,68.0,56,75,14.97,broken clouds
286,Vaxjo,SE,56.8777,14.8091,19.0,93,75,9.22,broken clouds
287,Chilca,PE,-12.5211,-76.7372,73.4,73,75,14.97,broken clouds
288,Leshukonskoye,RU,64.8989,45.7622,-22.5,86,98,7.49,overcast clouds
289,Thinadhoo,MV,0.5333,72.9333,81.5,74,24,7.0,few clouds
290,Qazvin,IR,36.2797,50.0049,37.4,100,0,2.3,clear sky
291,Tres Picos,MX,15.8667,-93.5333,81.21,60,0,2.8,clear sky
292,Brasilia De Minas,BR,-16.2064,-44.4333,66.76,97,100,7.02,light rain
293,Bahia Blanca,AR,-38.7196,-62.2724,60.58,69,58,16.64,broken clouds
294,Khovu-Aksy,RU,51.1333,93.6,6.01,87,68,4.47,broken clouds
295,Hambantota,LK,6.1241,81.1185,76.17,81,3,13.82,clear sky
296,Dunedin,NZ,-45.8742,170.5036,61.0,88,98,1.01,overcast clouds
